"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","UsdlK","W4Efsd 7"
"https://www.google.com/maps/place/HALTE+GIANT+DRAMAGA/data=!4m7!3m6!1s0x2e69c580f2e6e1ad:0x3ffa99fe0d53ce0d!8m2!3d-6.5726626!4d106.7466313!16s%2Fg%2F11j0sdmf2b!19sChIJreHm8oDFaS4RDc5TDf6Z-j8?authuser=0&hl=id&rclk=1","HALTE GIANT DRAMAGA","4,8","(24)","Toko Swalayan","·","","RT.01, RW.02","","Segera tutup","· 21.00 · Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmAj3IS7cmzhMe5tTobJqUCpzFGp1AQNGnDMfjSa8BaCW0pdBAFmaaKxXGug8ugigM850SfajNli5hxXeaJFuTnhwDVIt7av47SywMFRwNoz473daaNykWfEz6f3EFTooOjTs=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nya enak'dan nyaman""","",""
"https://www.google.com/maps/place/INDOMARET+MALABAR+BOGOR/data=!4m7!3m6!1s0x2e69c576c1637fb1:0x15119a15ded92fbe!8m2!3d-6.5959756!4d106.8066057!16s%2Fg%2F11v02zr4yp!19sChIJsX9jwXbFaS4Rvi_Z3hWaERU?authuser=0&hl=id&rclk=1","INDOMARET MALABAR BOGOR","4,7","(93)","Minimarket","·","","Jl. Malabar No.6-53, RT.02/RW.08","","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8oI6j7a-I8-cNpSYZjlWD64SNPYgJH9HZ_0NArhyPaNAWSCBZqMvuN6Wpt550wPcI4vFNVd9hU0TSujs-YliW9XNiVEuXMlZZ9MFDQU5n_RTc84H3G8vpcUqlW-6EdaMUS3ZvEiVf5qdx=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasinya strategis, pelayannya ramah,barang yg di jualnya lengkap""","",""
"https://www.google.com/maps/place/Dawoon+Tea+Indonesia/data=!4m7!3m6!1s0x2e69c52b8fbf0b13:0xcf88ebe53b45f050!8m2!3d-6.5590768!4d106.7352832!16s%2Fg%2F11fsd5pz41!19sChIJEwu_jyvFaS4RUPBFO-XriM8?authuser=0&hl=id&rclk=1","Dawoon Tea Indonesia","4,7","(99)","Toko Teh","·","","Jl. Babakan Tengah Pangkot IPB No.Ujung, RT.1/RW.09","","Segera tutup","· 21.00 · Buka Sel pukul 08.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmKXGyTVI7Zar9TUD0Ttm5eKltHmwFAB6_F9KOdzwLQVoDjCqIBxCnxO4dqAnXQ3N2MM82IteGXDbfRbA06msYyXo1PqDkAP5bp4RdJ0orlW4mMVScy0zj3fde5JUx7toKfxrn=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga mulai 6rb rupiah.""","",""
"https://www.google.com/maps/place/IPB+Darmaga/data=!4m7!3m6!1s0x2e69c4b294aba49d:0x533530000f77bc38!8m2!3d-6.5552739!4d106.7229062!16s%2Fg%2F12m8_1ld_!19sChIJnaSrlLLEaS4ROLx3DwAwNVM?authuser=0&hl=id&rclk=1","IPB Darmaga","4,7","(3.888)","Universitas Negeri","·","","·","Jl. Raya Darmaga Kampus IPB","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFN_rqtFpbl25pH6EzWVSHEnDh0lSp2llEl4fZClSftBDcJppr9ldPm142yrtbzzjoLCklSrH9Zpv8woCzqEZKyp33wApSjK0oDYnL8FLyIZZxQDL2r7EMLsdcMTDm4bn4bChk=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat nyaman untuk anak2 kuliah di bidang pertanian, hewaan dll.""","(0251) 8622642","·"
"https://www.google.com/maps/place/Central+Dramaga/data=!4m7!3m6!1s0x2e69c4c18f122bad:0x7daa12660c6e723c!8m2!3d-6.5725076!4d106.7440193!16s%2Fg%2F11c1vkqd6t!19sChIJrSsSj8HEaS4RPHJuDGYSqn0?authuser=0&hl=id&rclk=1","Central Dramaga","4,2","(42)","Toko Elektronik","·","","·","Jl. Raya Dramaga No.km.7, RT.03/RW.no.5","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/pmvYZLiZTOEm9YXc4utTCChuLNqN4ylHz6ZYxAh5t11aEEx_Yhn_sj5HNJGM08Go7w=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko terlengkap di Bogor""","(0251) 8628160","·"
"https://www.google.com/maps/place/SENTRAPONSEL+DRAMAGA+BOGOR/data=!4m7!3m6!1s0x2e69c56de0cd9737:0x1a7b643859491b51!8m2!3d-6.572597!4d106.7448483!16s%2Fg%2F11rsfblxwk!19sChIJN5fN4G3FaS4RURtJWThkexo?authuser=0&hl=id&rclk=1","SENTRAPONSEL DRAMAGA BOGOR","4,8","(38)","Toko Ponsel","·","","·","Jl. Nasional 11 No.28-26, RT.03/RW.02","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyMCgT3vhb4UQynR2tR5p7hWFf7M1KVi36bP8SmZzDOaEYvD5W2maY3G2tQVc-sug6gdzvjjile0Jkan1GsChW3XcC4KDJQOnZtwbIHUWq9FZQnDHKKXG4WhAw4o1uTUrhxYI=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Banyak pilihan produk handphone dengan oelayanan yang baik 🙂👌""","0853-8119-2516","·"
"https://www.google.com/maps/place/KOTA+VAPE+DRAMAGA+BOGOR/data=!4m7!3m6!1s0xaf1727694ef35847:0xee3f60e30381cc1a!8m2!3d-6.5728437!4d106.7466507!16s%2Fg%2F11mcnc7ynr!19sChIJR1jzTmknF68RGsyBA-NgP-4?authuser=0&hl=id&rclk=1","KOTA VAPE DRAMAGA BOGOR","5,0","(247)","Toko Rokok Elektrik","·","","Jl. Raya Dramaga No.KM.7, RT.01/RW.02","·","Buka","· Tutup pukul 04.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPPpMhDRCwUy-OVF3kc3R82fEx9UNK_AkxNplNn7h3Cuz4sFgYZefDCVrxPuE6u1kCnB0pcQg90P82cNa-r6FoUDxCHQgd15tt16dmG6slgws66RPzN_tmALPqgPeRZiPOUvCPXXJFu1k=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya sangat ramah,murah dan lengkap juga oke bangettt""","0838-9104-2248",""
"https://www.google.com/maps/place/Perum+Pakuan+Regency+dramaga+bogor/data=!4m7!3m6!1s0x2e69c5104b78b721:0x56813ec608ba03cc!8m2!3d-6.5647247!4d106.7419881!16s%2Fg%2F11jrny6jfw!19sChIJIbd4SxDFaS4RzAO6CMY-gVY?authuser=0&hl=id&rclk=1","Perum Pakuan Regency dramaga bogor","5,0","(5)","Toko bahan makanan","·","","CPPR+4Q9, Jl. Raya Pakuan Regency Kp. Parung Jambu, RT.03/RW.07","","Buka 24 jam","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EoDkvOv90oerZ-r79ZXg1g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=162.15268&pitch=0&thumbfov=100","","","",""
"https://www.google.com/maps/place/Roti+Endolita+IPB+Dramaga+-+Makanan,+Roti+Khas+Bogor,+Oleh-Oleh+Khas+Bogor/data=!4m7!3m6!1s0x2e69c4b11b450247:0x941865f7683e70c3!8m2!3d-6.5615737!4d106.7308526!16s%2Fg%2F11f3twvm2h!19sChIJRwJFG7HEaS4Rw3A-aPdlGJQ?authuser=0&hl=id&rclk=1","Roti Endolita IPB Dramaga - Makanan, Roti Khas Bogor, Oleh-Oleh Khas Bogor","5,0","(281)","Toko Roti","·","","Jalan Babakan Raya &, Jl. Perwira","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGhVdInGvDnwInD-Obu-j-3xtWLL9VmWDwXGdz5CGDbvom9K00z8V_CMmxCL-hLzfvqfhduCEvz5g9n_t0RHTW1Tox8Q4HY65gVBODdsTFWXtBPnw-vyrueTnvQ1lf2WOI09UN8A=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak ,murah ,banyak promonya 😍""","0817-9601-688",""
"https://www.google.com/maps/place/Toko+Barokah/data=!4m7!3m6!1s0x2e69c4baadcfe5a3:0x977d43f13b286155!8m2!3d-6.5589701!4d106.7346956!16s%2Fg%2F11csqcck0m!19sChIJo-XPrbrEaS4RVWEoO_FDfZc?authuser=0&hl=id&rclk=1","Toko Barokah","4,3","(3)","Minimarket","·","","·","Jl. Babakan Lio No.7, RT.01/RW.07","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQxGPqA28Na5CrkP1KDWpnaIPGXdgMa309ltf5Kr79d_VN5Q72zIC5wbzeCcq-uaSqCgXq8oDeYfPiDoI5Q2nBNsHI8iRi8ZRUuwUAtXdmWwGHokzICM8OnrkRUeiXH4bOoEg9=w80-h106-k-no","","","0856-9218-4564","·"
"https://www.google.com/maps/place/Kacamatamoo+Dramaga+Bogor/data=!4m7!3m6!1s0x2e69c51ea5dd70b5:0xf4aab59b70f70e8f!8m2!3d-6.5728844!4d106.7454684!16s%2Fg%2F11z0041qkq!19sChIJtXDdpR7FaS4Rjw73cJu1qvQ?authuser=0&hl=id&rclk=1","Kacamatamoo Dramaga Bogor","5,0","(238)","Toko Kacamata Hitam","·","","Jl. Raya Dramaga - Bogor No.12, RT.02/RW.02","·","Segera tutup","· 21.00 · Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2nSluivNlx2Gu2jLhNreIiLcRL-fQCPNF8TUxmJpyTiFEiMXztSFtMsfV5mVe3jtdP7NyUv8QDz5kwQ1_W521ER64dXm_vGAiX57PKTqdzkGHWOObWqH1Gaoytp3YUj33rxlJTBtuqdk=w80-h97-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""pelayanannya bagus, kakanya juag baik & detail banget.""","0811-1977-4541",""
"https://www.google.com/maps/place/Superkue+Cake+%26+Bakery+3+%28Margajaya%29/data=!4m7!3m6!1s0x2e69c4c193133b59:0xd463cb1ea71b475d!8m2!3d-6.5725893!4d106.7454002!16s%2Fg%2F11bz_4qxbq!19sChIJWTsTk8HEaS4RXUcbpx7LY9Q?authuser=0&hl=id&rclk=1","Superkue Cake & Bakery 3 (Margajaya)","4,5","(229)","Toko Roti","·","","Jl. Raya Dramaga No.68, RT.03/RW.02","·","Segera tutup","· 21.00 · Buka Sel pukul 06.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKVjmrxuYMVOZps4uhiR0MOsvmWi6qlzEyKvVGVcQHlN1Ki3TFFoA8xj2vuaMwYfvlBCV17bd6ptPwz1knJLhW6QsSH-iEUsS6bDqnp6u9QdOUTu0NpWsh-jAKM_6M0wMp3kuf8LQtR__L=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga nya murah, pelayanan nya juga ramah, area nya bersih bget""","0811-1142-900",""
"https://www.google.com/maps/place/DONAT+DPR+IPB+DRAMAGA/data=!4m7!3m6!1s0x2e69c5002d49b727:0x1cb33de960d684b0!8m2!3d-6.5623179!4d106.7320773!16s%2Fg%2F11w9tz60s_!19sChIJJ7dJLQDFaS4RsITWYOk9sxw?authuser=0&hl=id&rclk=1","DONAT DPR IPB DRAMAGA","4,8","(25)","Toko Roti","·","","Jl. Raya Dramaga - Bogor RW No.50, RW.KM 7","·","Tutup","· Buka Sel pukul 07.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRIfQrJ__WjpXYDheBc4DXPokJhkJxInTOm96YnPZ-WkgAAdvPF32WVK5vfFjgnUzY4UdxvNnI6Fy6nOFDLWyXAFqx5BLmqdnYegHL4BNYmcs_TRXoziLal9dO3tiBkwiGEe3s=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""donatnya enak bgt cocok buat balikin mood yg jelek karena haid hehehe😙✨💓""","0812-2345-7524",""
"https://www.google.com/maps/place/BreadCast+-+PAU/data=!4m7!3m6!1s0x2e69c5d50bbc844d:0x9fda5e903c0be555!8m2!3d-6.5584304!4d106.7271043!16s%2Fg%2F11fn823qvv!19sChIJTYS8C9XFaS4RVeULPJBe2p8?authuser=0&hl=id&rclk=1","BreadCast - PAU","4,7","(251)","Toko Roti","","","·","","Tutup","· Buka Sel pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSbfU43M-SZbiIoXw-qwk7paBmKgjpQGZzvy58qx01Gx0nNwI9DT1cUzypN05AfsWg7UbEsjtfuzAxFjZonx_GcyORYsBiAqoNFmVSxtG2UuWe8HopVro_ELVSi3M2omGR3bCu=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minuman tersedia kopi, susu, yogurt harga mulai 11 rb an.""","0857-7104-3310",""
"https://www.google.com/maps/place/Dimsum+gemoy+kantin+vokasi+ipb/data=!4m7!3m6!1s0x2e69c500183e71b7:0x5a184f3308000337!8m2!3d-6.5887272!4d106.8061546!16s%2Fg%2F11ydwf3543!19sChIJt3E-GADFaS4RNwMACDNPGFo?authuser=0&hl=id&rclk=1","Dimsum gemoy kantin vokasi ipb","5,0","(1)","Toko bahan makanan","·","","CR64+GF2, RT.03/RW.06","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z7yyM_9T8zvCaqY8lxRw0w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=11.914592&pitch=0&thumbfov=100","","","",""
"https://www.google.com/maps/place/Berry+Coffee+Kampus+IPB+Dramaga/data=!4m7!3m6!1s0x2e69c58d4f48b22f:0x8c636926985529eb!8m2!3d-6.558887!4d106.7319879!16s%2Fg%2F11jt68pfw_!19sChIJL7JIT43FaS4R6ylVmCZpY4w?authuser=0&hl=id&rclk=1","Berry Coffee Kampus IPB Dramaga","5,0","(18)","Kedai Kopi","·","","Jl. Babakan Tengah No.9, RT.01/RW.09","·","","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvn8TWhGo8BZfQB8zTM0g-W6KcdhKphU50GIhjk66_JUtJagvmUxcndvoERFP_oYvcJzZkEknT-1WJTDgv65Oq0ZPy68WKI8n9nkxKumAlkg21oh6eY3vQ_VTXoc2oKBQ8lFUVTw=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus tempat nya, adem, kopinya juga enak enak dan murah meriah""","0899-5909-000",""
"","","","","","","","","","","","","","","",""
