"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 7","ah5Ghc 2","ah5Ghc 3","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Fotocopy+ilham+%28Kampus+IPB+Gunung+Gede%29/data=!4m7!3m6!1s0x2e69c5cd8a63d89f:0xd37c7abdd5c83ff0!8m2!3d-6.5871965!4d106.8069324!16s%2Fg%2F11rf7hp35y!19sChIJn9hjis3FaS4R8D_I1b16fNM?authuser=0&hl=id&rclk=1","Fotocopy ilham (Kampus IPB Gunung Gede)","5,0","(3)","Percetakan Komersial","·","","Jl. Raya Pajajaran, RT.03/RW.06","·","Buka","","0877-0506-2239","","Rute","","Layanan di tempat","· Tutup Sel pukul 05.00","Janji temu online","","","",""
"https://www.google.com/maps/place/Innova+Copy+Centre/data=!4m7!3m6!1s0x2e69c5346f09a2d7:0x98ba2f58b44a867d!8m2!3d-6.5592904!4d106.7292293!16s%2Fg%2F11j13sg4jt!19sChIJ16IJbzTFaS4RfYZKtFgvupg?authuser=0&hl=id&rclk=1","Innova Copy Centre","5,0","(1)","Toko Fotokopi","·","","CPRH+7MQ","·","Tutup","","0852-1551-0139","","Rute","","","· Buka Sel pukul 07.00","","","","",""
"https://www.google.com/maps/place/Tunas+Muda/data=!4m7!3m6!1s0x2e69c4b1a5b808e5:0x44058bed7f2dc9b5!8m2!3d-6.5591452!4d106.7315848!16s%2Fg%2F1pzr44bs_!19sChIJ5Qi4pbHEaS4Rtcktf-2LBUQ?authuser=0&hl=id&rclk=1","Tunas Muda","5,0","(1)","Toko Fotokopi","·","","Jl. Babakan Tengah No.1, RT.1/RW.9","·","Buka","","0813-2841-9090","","Rute","","","· Tutup pukul 22.00","","","","",""
"https://www.google.com/maps/place/Dramaga+Print/data=!4m7!3m6!1s0x2e69c4b1b72a840b:0x61909cb6c3ee48d2!8m2!3d-6.578935!4d106.7396302!16s%2Fg%2F11gh2sr41y!19sChIJC4Qqt7HEaS4R0kjuw7ackGE?authuser=0&hl=id&rclk=1","Dramaga Print","5,0","(4)","Toko Fotokopi","·","","Jln.lingkar kp. Manggis, RT.04/RW.04","·","Tutup","","0856-7680-083","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pindah alamat ke jln.lingkar kp.""","· Buka Sel pukul 08.00","","","","",""
"https://www.google.com/maps/place/Oke+Print/data=!4m7!3m6!1s0x2e69c5cae69e4c81:0x2e76aa8e3f1a71e8!8m2!3d-6.5810271!4d106.7971943!16s%2Fg%2F1hm3rz5sb!19sChIJgUye5srFaS4R6HEaP46qdi4?authuser=0&hl=id&rclk=1","Oke Print","4,3","(804)","Layanan cetak digital","·","","·","Buka","· Tutup pukul 00.00","Air Mancur, Jl. A. Yani No.6-8, RT.05/RW.03","0851-0072-6688","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","·","print","paling gercep","http://www.okeprint.id/","","Rute"
"https://www.google.com/maps/place/Usaha+Muda+Copy+Center/data=!4m7!3m6!1s0x2e69c580a17db255:0xc118f3b0e9da40d5!8m2!3d-6.5614493!4d106.7305523!16s%2Fg%2F11h1t0hx2s!19sChIJVbJ9oYDFaS4R1UDa6bDzGME?authuser=0&hl=id&rclk=1","Usaha Muda Copy Center","4,5","(2)","Toko Fotokopi","·","","Jl. Raya Dramaga, RT.03/RW.06","·","Segera tutup","","0812-9090-8687","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat FC deket","· 21.00 · Buka Sel pukul 06.00","IPB","👌👌""","","",""
"https://www.google.com/maps/place/Digital+Dimensi+Bogor/data=!4m7!3m6!1s0x2e69c5aec7807073:0x8e6ac017be0a72e3!8m2!3d-6.5940836!4d106.7775688!16s%2Fg%2F11df0qv9fk!19sChIJc3CAx67FaS4R43IKvhfAao4?authuser=0&hl=id&rclk=1","Digital Dimensi Bogor","4,2","(222)","Toko Percetakan","·","","·","Buka","· Tutup pukul 00.00","Jl. Mayjend Ishak Djuarsa No.48A-B, RT.04/RW.12","0811-8722-017","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sejauh ini, pelayanan dan hasil","·","cetak","bagus.""","https://digitaldimensi.com/","","Rute"
"https://www.google.com/maps/place/Gundaling+GunungBatu/data=!4m7!3m6!1s0x2e69c4145c60bc39:0xd514f8fafa8a9cc6!8m2!3d-6.5934044!4d106.7771748!16s%2Fg%2F11c72q8vdz!19sChIJObxgXBTEaS4RxpyK-vr4FNU?authuser=0&hl=id&rclk=1","Gundaling GunungBatu","4,2","(1.857)","Percetakan Komersial","·","","Jl. Raya Gn. Batu Blok Kutilang No.126, RT.03/RW.04","Buka","· Tutup pukul 22.00","·","(0251) 8377444","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","Cetak","A3 harga nya murah hasilnya bagus""","https://www.gundalingprint.com/","","Rute"
"https://www.google.com/maps/place/MAKSUM+COMPANY/data=!4m7!3m6!1s0x2e69c5332d5f042f:0xa2d6f84697298a3a!8m2!3d-6.552905!4d106.7334183!16s%2Fg%2F11sn_5y_jt!19sChIJLwRfLTPFaS4ROoopl0b41qI?authuser=0&hl=id&rclk=1","MAKSUM COMPANY","5,0","(1)","Toko Percetakan","·","","Jl. Cangkurawok","·","Buka","","0838-0909-499","","Rute","","Belanja di toko","· Tutup pukul 22.00","Ambil di tepi jalan","Pesan antar","","",""
"https://www.google.com/maps/place/Emen+Fotocopy+Print+24+Jam/data=!4m7!3m6!1s0x2e69c578803949bb:0xe035d7fcba585573!8m2!3d-6.5989498!4d106.8125004!16s%2Fg%2F11wc2xhrv3!19sChIJu0k5gHjFaS4Rc1VYuvzXNeA?authuser=0&hl=id&rclk=1","Emen Fotocopy Print 24 Jam","4,4","(23)","Toko Percetakan","·","","Jl. Pakuan No.74 Universitas Pakuan, RT.01/RW.06","·","Buka 24 jam","","0851-5057-0828","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus banget service nya!""","","","","","",""
"https://www.google.com/maps/place/Sablon+Cup+Terdekat/data=!4m7!3m6!1s0x2e69c5b84296ca51:0x5b195e3c4e2011f2!8m2!3d-6.5667649!4d106.7361531!16s%2Fg%2F11ycggb_ds!19sChIJUcqWQrjFaS4R8hEgTjxeGVs?authuser=0&hl=id&rclk=1","Sablon Cup Terdekat","5,0","(1)","Toko Sablon","·","","kampus ipb, Jl. Raya Dramaga","·","Tutup","","0838-7400-8691","","Rute","","","· Buka Sel pukul 07.00","","","","",""
"https://www.google.com/maps/place/IPB+Merchandise+Store+%7C+Official+Merchandise+%26+Attribute+of+IPB+University+%7C+Custome+Sovenir/data=!4m7!3m6!1s0x2e69c5e1ad374e75:0x251c15c93c26176b!8m2!3d-6.5598356!4d106.7313661!16s%2Fg%2F11j4n_1ygv!19sChIJdU43reHFaS4RaxcmPMkVHCU?authuser=0&hl=id&rclk=1","IPB Merchandise Store | Official Merchandise & Attribute of IPB University | Custome Sovenir","4,7","(28)","Percetakan Komersial","","","·","Segera tutup","· 21.00 · Buka Sel pukul 08.00","","0813-8848-9123","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli oleh2 tentang","","IPB di","sini😄""","https://ipb.link/ims-63","","Rute"
"https://www.google.com/maps/place/Toko+Acc+Putra/data=!4m7!3m6!1s0x2e69c4b1cff64b33:0xbe42958a67acff39!8m2!3d-6.5592734!4d106.7316031!16s%2Fg%2F11ddx2xgdp!19sChIJM0v2z7HEaS4ROf-sZ4qVQr4?authuser=0&hl=id&rclk=1","Toko Acc Putra","4,3","(194)","Toko Alat Tulis","·","","·","Jl. Babakan Tengah No.1","Tutup","·","0812-9427-726","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Toko stationery n sebelahnya fotokopi n","· Buka Sel pukul 06.30","print",".""","","",""
"https://www.google.com/maps/place/PRINT+%26+ATK+24JAM/data=!4m7!3m6!1s0x2e69c5004af8c0f7:0xf45ccaa717f23f03!8m2!3d-6.559908!4d106.7317318!16s%2Fg%2F11lv9vxqlx!19sChIJ98D4SgDFaS4RAz_yF6fKXPQ?authuser=0&hl=id&rclk=1","PRINT & ATK 24JAM","","","Layanan cetak digital","·","","CPRJ+2MQ, Jl. Babakan Raya, RT.04/RW.07","·","Buka 24 jam","","0877-2160-9167","","Rute","","","","","","","",""
"https://www.google.com/maps/place/Bogor+print/data=!4m7!3m6!1s0x2e69c5cae3733ba3:0x4e75875132e722d9!8m2!3d-6.5871949!4d106.7991156!16s%2Fg%2F11cncr3vg8!19sChIJoztz48rFaS4R2SLnMlGHdU4?authuser=0&hl=id&rclk=1","Bogor print","4,2","(208)","Layanan cetak digital","·","","·","Tutup","· Buka Sel pukul 08.30","Jl. Sempur Kaler No.18, RT.01/RW.02","0878-8627-0206","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil cetakannya bagus, cepat""","·","","","https://bogorprint.com/","","Rute"
"https://www.google.com/maps/place/IPB+Darmaga/data=!4m7!3m6!1s0x2e69c4b294aba49d:0x533530000f77bc38!8m2!3d-6.5552739!4d106.7229062!16s%2Fg%2F12m8_1ld_!19sChIJnaSrlLLEaS4ROLx3DwAwNVM?authuser=0&hl=id&rclk=1","IPB Darmaga","4,7","(3.888)","Universitas Negeri","·","","·","Buka 24 jam","","Jl. Raya Darmaga Kampus IPB","(0251) 8622642","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kampus yang hijau, cuma ga tahan macet di jalan menuju kampus""","·","","","http://ipb.ac.id/","","Rute"
"https://www.google.com/maps/place/Dicky+Digital+Printing/data=!4m7!3m6!1s0x2e69db68f9f094af:0xc7dd550dcc422192!8m2!3d-6.5781217!4d106.6929752!16s%2Fg%2F11khs27qlv!19sChIJr5Tw-WjbaS4RkiFCzA1V3cc?authuser=0&hl=id&rclk=1","Dicky Digital Printing","5,0","(35)","Toko Percetakan","·","","Kp Jl. Ciampea Ilir, RT.02/RW.06","Buka","· Tutup Sel pukul 05.00","·","0856-7609-213","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan di DICKY DIGITAL","","PRINTING","sangat profesional dan cepat.""","https://www.facebook.com/dickydigital.printing","","Rute"
"https://www.google.com/maps/place/Aksara+Printing+%26+Design/data=!4m7!3m6!1s0x2e69c56e73e2ec99:0x91f10d4d97ad5983!8m2!3d-6.559934!4d106.732415!16s%2Fg%2F11gtfr__dh!19sChIJmezic27FaS4Rg1mtl00N8ZE?authuser=0&hl=id&rclk=1","Aksara Printing & Design","","","Layanan cetak digital","·","","Jl. Babakan Raya No.06","·","Buka","","0852-5624-6056","","Rute","","","· Tutup pukul 23.00","","","","",""
"https://www.google.com/maps/place/Sumber+Cahaya+Digital+Printing+%26+Copy+Center/data=!4m7!3m6!1s0x2e69c42f955b81d3:0x6cb8b66ab508b1ae!8m2!3d-6.5777982!4d106.80761!16s%2Fg%2F11c5_s24ll!19sChIJ04FblS_EaS4RrrEItWq2uGw?authuser=0&hl=id&rclk=1","Sumber Cahaya Digital Printing & Copy Center","4,6","(168)","Layanan cetak digital","·","","·","Jl. Raya Pajajaran No.234c, RT.03/RW.03","Tutup","·","0858-8876-2878","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","· Buka Sel pukul 08.00","Print","dan jilid bagua, pelayanan ramah dan bisa WA utk gosend""","","",""
"https://www.google.com/maps/place/WARNA+Fotocopy+dan+Digital+Printing/data=!4m7!3m6!1s0x2e69c5d1d08f84bb:0x4eb9881a383bba2c!8m2!3d-6.5937804!4d106.8066293!16s%2Fg%2F11bc7rz3jx!19sChIJu4SP0NHFaS4RLLo7OBqIuU4?authuser=0&hl=id&rclk=1","WARNA Fotocopy dan Digital Printing","4,6","(139)","Toko Percetakan","·","","·","Jalan Malabar Ujung, Samping Kelurahan No.3, RT.002/RW.001","Buka","·","0812-8054-4570","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Yg di fotocopy ganteng dan cantik-cantik, jadi semangat revisi di warna.""","· Tutup pukul 22.00","","","","",""
"https://www.google.com/maps/place/Dika+Global+Print/data=!4m7!3m6!1s0x2e69c568a24e473f:0x203db82364e3a685!8m2!3d-6.5908608!4d106.7294887!16s%2Fg%2F11gtd4qpbz!19sChIJP0dOomjFaS4RhabjZCO4PSA?authuser=0&hl=id&rclk=1","Dika Global Print","4,8","(5)","Toko Fotokopi","·","","Jl. Palem Jl. Kp. Cibereum Petir Dramaga Bogor, RT.02/RW.01","·","Tutup","","0816-1690-382","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bagus untuk","· Buka Sel pukul 07.00","cetak","undangan""","","",""
"https://www.google.com/maps/place/Percetakan+Termurah+kota+Bogor/data=!4m7!3m6!1s0x2e69c599f2b1e197:0x3e4e130e18944057!8m2!3d-6.5886373!4d106.8014969!16s%2Fg%2F11ygw91cg8!19sChIJl-Gx8pnFaS4RV0CUGA4TTj4?authuser=0&hl=id&rclk=1","Percetakan Termurah kota Bogor","","","Layanan cetak digital","·","","IPB samping, Jl. Taman Kencana, RT.03/RW.03","·","Tutup","","0851-4716-4335","","Rute","","","· Buka Sel pukul 08.00","","","","",""
"https://www.google.com/maps/place/Zahra+Print/data=!4m7!3m6!1s0x2e69db4fb58481d7:0xc47e44ad02fc064d!8m2!3d-6.5600988!4d106.7139315!16s%2Fg%2F1hm58ckx4!19sChIJ14GEtU_baS4RTQb8Aq1EfsQ?authuser=0&hl=id&rclk=1","Zahra Print","4,0","(49)","Toko Percetakan","·","","·","Tutup","· Buka Sel pukul 08.00","Jl. Raya Cibanteng Jl. Babengket No.60","0856-9300-0777","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kualitas","·","cetak","Baner nya bagus tinta nya tajam""","https://zahra-print-cibanteng.business.site/","","Rute"
"https://www.google.com/maps/place/Digital+Printing+INTIQOLAM+PRESS/data=!4m7!3m6!1s0x2e69c50021460bf3:0xd45c349408144f87!8m2!3d-6.5588393!4d106.7315035!16s%2Fg%2F11ldsjf142!19sChIJ8wtGIQDFaS4Rh08UCJQ0XNQ?authuser=0&hl=id&rclk=1","Digital Printing INTIQOLAM PRESS","5,0","(2)","Toko umum","·","","Jl. Babakan Tengah No.2, RT.2/RW.08","·","Segera tutup","","0815-1100-1700","","Rute","","","· 21.00 · Buka Sel pukul 06.00","","","","",""
"https://www.google.com/maps/place/Print+N+Sense/data=!4m7!3m6!1s0x2e69c5abdf18f999:0x35608babd8d5526f!8m2!3d-6.5885419!4d106.7281098!16s%2Fg%2F11t7crt1wb!19sChIJmfkY36vFaS4Rb1LV2KuLYDU?authuser=0&hl=id&rclk=1","Print N Sense","","","Percetakan Komersial","·","","Jl. Cibereum","Buka 24 jam","","·","0887-1732-404","","Situs Web","","","","","","https://printnsense.carrd.co/","","Rute"
"https://www.google.com/maps/place/INDOPRINT+BOGOR/data=!4m7!3m6!1s0x2e69c50071903db7:0xad224387dea30d11!8m2!3d-6.5700991!4d106.7432304!16s%2Fg%2F11x7m_qw_p!19sChIJtz2QcQDFaS4REQ2j3odDIq0?authuser=0&hl=id&rclk=1","INDOPRINT BOGOR","5,0","(20)","Percetakan Komersial","·","","Asrama Riau Bogor, Jl. Radar Baru No.7, RT.03/RW.02","·","Segera tutup","","0812-2040-2838","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Recommended untuk kebutuhan","· 21.00 · Buka Sel pukul 09.00","print",".""","","",""
"https://www.google.com/maps/place/Lambuzier/data=!4m7!3m6!1s0x2e69c5007739687f:0xebac6a212221ce5c!8m2!3d-6.5603553!4d106.7317215!16s%2Fg%2F11vqvprl74!19sChIJf2g5dwDFaS4RXM4hIiFqrOs?authuser=0&hl=id&rclk=1","Lambuzier","","","Toko Percetakan","·","","kios ipb, Jl. Babakan Raya No.45","","","","","","Rute","","","","","","","",""
"https://www.google.com/maps/place/Cipta+Printing+%26+Fotocopy/data=!4m7!3m6!1s0x2e69c52cc1d36afd:0xfaf89f075675d3a1!8m2!3d-6.5588274!4d106.7322296!16s%2Fg%2F11fhrz2jf0!19sChIJ_WrTwSzFaS4RodN1Vgef-Po?authuser=0&hl=id&rclk=1","Cipta Printing & Fotocopy","","","Toko Fotokopi","·","","Jl. Babakan Tengah No.15","·","Segera tutup","","0856-9164-7832","","Rute","","","· 21.00 · Buka Sel pukul 08.00","","","","",""
"https://www.google.com/maps/place/Infinity+design+%26+3D+printing/data=!4m7!3m6!1s0x2e69dba9fd50e7d9:0x57f3cab669cd736f!8m2!3d-6.587095!4d106.8009267!16s%2Fg%2F11h4cfp06y!19sChIJ2edQ_anbaS4Rb3PNabbK81c?authuser=0&hl=id&rclk=1","Infinity design & 3D printing","5,0","(39)","Jasa percetakan 3D","·","","Jl. Taman Kencana 3, Science and Techno Park IPB, Gedung Startup Center no 2.04, RT.03/RW.03","·","Tutup","","0812-9798-2330","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hasil 3D Printingnya bagusss, sangat membantu dan memberikan nilai plus 😁""","· Buka Sel pukul 09.00","","","","",""
"https://www.google.com/maps/place/Ankidz+Bogor+Pakuan,+Print+Jilid,+Edit,+Jurnal/data=!4m7!3m6!1s0x2e69c5d99aad795d:0x95ecf733e64db595!8m2!3d-6.598895!4d106.813001!16s%2Fg%2F11hctg1b36!19sChIJXXmtmtnFaS4RlbVN5jP37JU?authuser=0&hl=id&rclk=1","Ankidz Bogor Pakuan, Print Jilid, Edit, Jurnal","5,0","(251)","Toko Percetakan","·","","·","Tutup","· Buka Sel pukul 07.00","Jl. Pakuan Utara, RT.01/RW.06","0857-7577-5109","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat","·","printing",", jilid & editing file kerjaan paling worth it.""","https://wa.me/message/QEJYGJC2KCLTJ1","","Rute"
"https://www.google.com/maps/place/LOGI+STUDIO+SABLON+KAOS+BOGOR/data=!4m7!3m6!1s0x2e69c357a6352dff:0x1781251e50d58128!8m2!3d-6.565508!4d106.7325117!16s%2Fg%2F11vwxkv8by!19sChIJ_y01plfDaS4RKIHVUB4lgRc?authuser=0&hl=id&rclk=1","LOGI STUDIO SABLON KAOS BOGOR","4,6","(38)","Toko Sablon","·","","Patokan Samping asrama mahasiswa papua, Jl. Lkr. Perwira, RT.01/RW.02","·","Segera tutup","","0811-1666-992","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bahan bagus hasil","· 21.00 · Buka Sel pukul 09.00","cetak","rapih the best pokonya""","","",""
"https://www.google.com/maps/place/Penerbit+Buku+Ajar/data=!4m7!3m6!1s0x2e69c5c7523c4ebf:0x398896429e02902b!8m2!3d-6.5877681!4d106.80149!16s%2Fg%2F11r6r3xj5g!19sChIJv048UsfFaS4RK5ACnkKWiDk?authuser=0&hl=id&rclk=1","Penerbit Buku Ajar","4,8","(29)","Penerbit Buku","·","","Kawasan IPB Science Techno Park, Jl. Taman Kencana No.3, RT.03/RW.03","Tutup","· Buka Sel pukul 08.30","·","0812-9186-5609","","Situs Web","","","","","","http://www.ipbpress.com/","","Rute"
"https://www.google.com/maps/place/Amanda+Digital+Printing+Kampus+IPB+Dramaga+Bogor/data=!4m7!3m6!1s0x2e69c5402c7434ed:0xe85c770c4881474c!8m2!3d-6.5616569!4d106.7309431!16s%2Fg%2F11vq2nt0xv!19sChIJ7TR0LEDFaS4RTEeBSAx3XOg?authuser=0&hl=id&rclk=1","Amanda Digital Printing Kampus IPB Dramaga Bogor","5,0","(2)","Layanan cetak digital","·","","Jl. Raya Dramaga Depan Kampus IPB No.253","·","","","0895-8087-19800","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya dan hasil printnya bagus...""","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
